date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:56	31025/31025	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:50%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/font-awesome.min.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
11:59:57	1263/1263	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:49%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/flaticon.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
11:59:58	1053/1053	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:50%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/scrolling-nav.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/scrolling-nav.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
11:59:59	45404/45404	---M--	200	added ('OK')	font/ttf	date:Mon,%2007%20Jan%202019%2012:07:53%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/fonts/glyphicons-halflings-regular.ttf	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/bootstrap.min.css)
12:00:03	2937/2937	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:50%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/owl.carousel.min.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/owl.carousel.min.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:03	336172/336172	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20Jan%202019%2012:08:00%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/4.jpg	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/bg/4.jpg	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/)
12:00:05	53678/53678	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:49%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/animate.min.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/animate.min.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:05	1303/1303	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:50%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/owl.theme.default.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/owl.theme.default.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:07	9209/9209	---M--	200	added ('OK')	image/gif	date:Mon,%2007%20Jan%202019%2012:07:54%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/preloder.gif	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/images/preloder.gif	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
12:00:07	15788/15788	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Jan%202019%2012:07:49%20GMT	http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/component.css	C:/My%20Web%20Sites/conf/ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/component.css	(from http://ghriit.raisoni.net/NCRTCSITM/ncrtcsit2019/css/style.css)
